url,name,sex,region,weiboCount,foucsCount,fensCount
https://weibo.cn/u/2803041260,Jimmi_Jr 男/陕西,男,陕西          大号被404了，猜猜我是谁，提示我只想要15代皇冠。,3,87,0
https://weibo.cn/u/5713404579,常识2017 男/湖南,男,湖南         ,37,217,64
https://weibo.cn/u/1448686137,唐一,男,上海          自言自语中,888,502,283
https://weibo.cn/u/5815694099,JEFFWU77 男/上海,男,上海         ,0,119,1
https://weibo.cn/u/6405871197,八条啊八条 女/山东,女,山东          安静激烈且深邃。,82,116,54
https://weibo.cn/u/6614977385,帝皇20609 男/其他,男,其他         ,0,95,1
https://weibo.cn/u/6614953032,王生300,女,海南         ,16,60,3
https://weibo.cn/u/3302525872,閆闊,男,其他          并肩作战,142,147,2126
https://weibo.cn/u/6379350801,12273184罢了 男/江苏,男,江苏         ,2,24,1
https://weibo.cn/u/5887267559,zhanhxu 男/新疆,男,新疆          专注自黑，带给你意想不到的真人版表情包，你值得拥有～,8,28,2
https://weibo.cn/u/1959972344,飘逸雪海 女/福建,女,福建         ,82,199,112
https://weibo.cn/u/6351388354,大焱帝王82909 男/其他,男,其他         ,3,63,2
https://weibo.cn/u/6614973580,开心每一天37781 男/其他,男,其他         ,0,0,1
https://weibo.cn/u/6612914118,奥特曼扌小怪兽 女/广西,女,广西          奥特曼被小怪兽打败了,0,439,10
https://weibo.cn/u/3823640154,你逃不掉的呀,女,山东          有趣的恶魔,2294,694,295
https://weibo.cn/u/6348557689,国民女神花蝴蝶1 女/河南,女,河南         ,50,60,7
https://weibo.cn/u/6614488495,用户6614488495 男/其他,男,其他         ,0,1,1
https://weibo.cn/u/5995380086,nzklih 女/贵州,女,贵州         ,7,210,25
https://weibo.cn/u/5538802064,麦田里初升的太阳,男,湖南          喜欢是放肆，爱就是克制,215,22,81
https://weibo.cn/u/6614484715,mikes20999 女/江苏,女,江苏         ,0,670,1
https://weibo.cn/u/6614484715,mikes20999 女/江苏,女,江苏         ,0,670,1
https://weibo.cn/u/3862573794,z1717171717,女,浙江          桅杆上立刻挂满了帆篷,1,71,1
https://weibo.cn/u/6614970291,用户6614970291 男/其他,男,其他         ,0,91,2
https://weibo.cn/u/6114830474,用户6114830474,男,山东         ,0,1,2
https://weibo.cn/u/5994720389,雨衣5994720389,男,湖北         ,0,22,58
https://weibo.cn/u/3073396253,zx_0 女/四川,女,四川         ,59,191,56
https://weibo.cn/u/6614968656,花开富贵_200609 男/其他,男,其他         ,0,9,1
https://weibo.cn/u/1752320685,偉1415 男/福建,男,福建         ,25,214,187
https://weibo.cn/u/2628360495,harveyace 男/山东,男,山东         ,354,52,32
https://weibo.cn/u/5864723648,全世界最听话的张宁 女/辽宁,女,辽宁          一个不怎么爱说话的女生,0,54,4
https://weibo.cn/u/5864723648,全世界最听话的张宁 女/辽宁,女,辽宁          一个不怎么爱说话的女生,0,54,4
https://weibo.cn/u/5922647364,长得丑你打我啊 男/海外,男,海外          我想与你过余生,31,141,26
https://weibo.cn/u/2615055195,毛圣哥 男/广东,男,广东          以文会友，同气相求,46,93,15
https://weibo.cn/u/5601645295,是瑞瑛啦 女/甘肃,女,甘肃         ,196,206,27
https://weibo.cn/u/6562443509,努力又努力再努力的火锅店 男/其他,男,其他          你走也是诗，躺也成文，怎有烟火烛了身。我糟糠也食，五谷也认...,0,29,21
https://weibo.cn/u/5525332786,用户5525332786 男/广东,男,广东         ,3,112,4
https://weibo.cn/u/6470895060,tranquiltranquil_56572 女/四川,女,四川         ,4,72,2
https://weibo.cn/u/6547709484,小小鱼儿和我 女/其他,女,其他         ,1,6,1
https://weibo.cn/u/6614466199,iuiu_wen 女/北京,女,北京          ✨This too shall pass,4,294,1
https://weibo.cn/u/6612396432,ikun淘 女/上海,女,上海         ,3,27,2
https://weibo.cn/u/6612396432,ikun淘 女/上海,女,上海         ,3,27,2
https://weibo.cn/u/6599554774,bulkmilk 男/广东,男,广东         ,0,54,1
https://weibo.cn/u/6607734201,浅味雨 女/湖南,女,湖南         ,0,466,3
https://weibo.cn/u/5677111104,昵称是我5677111104 男/其他,男,其他         ,0,14,1
https://weibo.cn/u/2039637173,人生是场修行,男,"福建          人生若只如初见,何事秋风悲画扇",4265,1641,505
https://weibo.cn/u/1760999182,遺下的那一抹陽光 男/广东,男,广东          我的心是热的！,3329,337,393
https://weibo.cn/u/5732011618,LQ大宝贝的小跟班 男/其他,男,其他         ,0,193,40
https://weibo.cn/u/3626531231,韩小妮围脖 女/其他,女,其他         ,37,81,33
https://weibo.cn/u/6614960093,BY26190 男/其他,男,其他         ,0,305,2
https://weibo.cn/u/6034034692,ambition_amor 男/江苏,男,江苏          为人和善…,31,343,218
https://weibo.cn/u/6034034692,ambition_amor 男/江苏,男,江苏          为人和善…,31,343,218
https://weibo.cn/u/6614308746,九没有三 男/其他,男,其他         ,4,76,1
https://weibo.cn/u/6137893556,亚星无所谓,男,吉林         ,2,22,7
https://weibo.cn/u/6025959489,瑷凯的开开 女/甘肃,女,甘肃          我是王乐儿，也是四叶草 因为有你，我会努力 每个十年，我都陪...,12,22,15
https://weibo.cn/u/6575630572,哭毛毛虫 男/其他,男,其他          呵呵,0,9,1
https://weibo.cn/u/6597677413,我在默默的看着你装33109 女/其他,女,其他         ,40,151,27
https://weibo.cn/u/5485938222,用户5485938222 女/山西,女,山西         ,41,65,2
https://weibo.cn/u/5513579013,张明明95382 男/其他,男,其他         ,68,396,69
https://weibo.cn/u/6560763314,斗亚 男/陕西,男,陕西         ,0,331,92
https://weibo.cn/u/6478153276,用户6478153276 男/其他,男,其他         ,0,91,1
https://weibo.cn/u/1793533742,春屋葩葩 男/四川,男,四川          为自己想要的生活而活,1,106,208
https://weibo.cn/u/5874773091,用户5874773091 男/河南,男,河南          有什么好介绍得,0,66,2
https://weibo.cn/u/6614469707,用户6614469707 女/其他,女,其他         ,0,72,1
https://weibo.cn/u/3684092404,GnrBreakdown 男/甘肃,男,甘肃          小班的大班小孩,613,324,64
https://weibo.cn/u/2667787537,三口牛G 男/其他,男,其他         ,0,112,4
https://weibo.cn/u/5055459542,驿城网 男/河南,男,河南          463000.com，驻马店美和传媒有限公司独立运营该微博账号。,546,93,235
https://weibo.cn/u/6613452064,往后没有余生90515 男/其他,男,其他         ,1,12,1
https://weibo.cn/u/6614465390,用户6614465390 女/黑龙江,女,黑龙江         ,0,23,1
https://weibo.cn/u/6183904978,梦即是空无 男/福建,男,福建         ,0,100,45
https://weibo.cn/u/6122223015,郭志辉iTP,男,北京          太平人寿北京分公司经理 厦门大学理财规划师 ChRP认证退休规划...,1,56,3
https://weibo.cn/u/5347901284,萳在北方 男/陕西,男,陕西          One me,36,218,45
https://weibo.cn/u/6613964763,很爱很爱你20110 男/福建,男,福建         ,0,68,1
https://weibo.cn/u/6195286882,66688en张ong8686 男/其他,男,其他         ,5,6,6
https://weibo.cn/u/1829112605,倚天试锋Qiao,男,安徽          人可以锁住自己的心，却锁不住爱和忧伤，在长长的一生里，为什...,26888,350,2873
https://weibo.cn/u/1594308607,qingjiangning 男/江苏,男,江苏         ,88,231,25
https://weibo.cn/u/5419514628,wakeuuuuup 男/河北,男,河北          此人武艺高强，心狠手辣,581,218,46
https://weibo.cn/u/6242070759,95后少女_存款超过六位数,女,湖北         ,27,656,2071
https://weibo.cn/u/5448289705,H君数码,男,江苏         ,38,150,25
https://weibo.cn/u/5641277582,在路上碰著亦乐上几天 男/陕西,男,陕西          你快乐所以我快乐,20,280,127
https://weibo.cn/u/6154679713,平静好孩子678,男,福建         ,2,6,2
https://weibo.cn/u/6154679713,平静好孩子678,男,福建         ,2,6,2
https://weibo.cn/u/6372854079,戳我头像带你致富,女,浙江         ,51,630,1322
https://weibo.cn/u/1768102885,宫政_,男,海外           ,45,72,1311
https://weibo.cn/u/5382923386,西瓜大头男孩 男/安徽,男,安徽         ,75,85,34
https://weibo.cn/u/5819795752,张大善人75539 男/其他,男,其他         ,0,55,2
https://weibo.cn/u/6614461054,百果鲜香 男/山东,男,山东         ,1,60,1
https://weibo.cn/u/1765745550,不正经的小猪 男/上海,男,上海          你好👋,3006,428,231
https://weibo.cn/u/6614945845,用户6614945845 女/黑龙江,女,黑龙江         ,1,77,2
https://weibo.cn/u/6368944141,想当富一代的看过来哈,女,浙江          应有尽有,66,681,2438
https://weibo.cn/u/5848566652,骑你上树 男/山东,男,山东         ,43,67,38
https://weibo.cn/u/6368944141,想当富一代的看过来哈,女,浙江          应有尽有,66,681,2438
https://weibo.cn/u/5848566652,骑你上树 男/山东,男,山东         ,43,67,38
https://weibo.cn/u/3942684643,单挑一帮_13390 男/北京,男,北京         ,16,71,45
https://weibo.cn/u/1394586524,Lester_凯,男,天津         ,33,460,1434
https://weibo.cn/u/6190974105,不会咬人的狮子喵,男,辽宁          我是你的小可爱,170,132,70
https://weibo.cn/u/6470890978,0603水影urge 女/四川,女,四川         ,4,72,1
https://weibo.cn/u/5857391147,晞蔓啊 女/香港,女,香港          $,28,297,11349
https://weibo.cn/u/3579871293,仅有的寂静 男/江西,男,江西          一次伤害，换一次成长！,82,121,50
https://weibo.cn/u/6378976296,乔治阿桂11 男/北京,男,北京         ,259,337,79
https://weibo.cn/u/2281022550,你看看你a,女,江西          hey.My.man,275,513,1281
https://weibo.cn/u/1881554487,水滴之叶,女,江苏         ,61,193,151
https://weibo.cn/u/2720361855,音痴呀 男/其他,男,其他         ,0,25,1
https://weibo.cn/u/6524822400,用户6524822400,女,安徽         ,55,91,3
https://weibo.cn/u/6602676020,火炎焱燚199308,男,广东          得到的不属于自己，失去的己经太多,205,89,23
https://weibo.cn/u/2251850024,2号隐藏头目 男/重庆,男,重庆          零零零,602,63,76
https://weibo.cn/u/5621125651,用户5621125651 男/其他,男,其他         ,1,283,2
