url,name,sex,region,weiboCount,foucsCount,fensCount
https://weibo.cn/u/6585400294,小啄科技007 女/广东,女,广东         ,2,97,20
https://weibo.cn/u/6615721581,灵活的小胖子22315 男/其他,男,其他         ,0,36,1
https://weibo.cn/u/6342542860,茉莉zhmd 女/其他,女,其他         ,2,211,2
https://weibo.cn/u/6615537057,zz停云时雨 女/其他,女,其他         ,0,24,1
https://weibo.cn/u/6615278002,梅全子_365 男/北京,男,北京         ,0,55,1
https://weibo.cn/u/6613858682,葛根1234 男/黑龙江,男,黑龙江         ,0,26,2
https://weibo.cn/u/5031118188,四方方方哦四方 女/江苏,女,江苏          瘦高白,99,590,95
https://weibo.cn/u/6606141950,用户6606141950 女/江苏,女,江苏         ,0,159,3
https://weibo.cn/u/6615277007,摆渡者006 男/广东,男,广东         ,0,173,1
https://weibo.cn/u/6548055071,大爱少爷6548055071 女/江苏,女,江苏         ,0,326,29
https://weibo.cn/u/5031118188,四方方方哦四方 女/江苏,女,江苏          瘦高白,99,590,95
https://weibo.cn/u/6606141950,用户6606141950 女/江苏,女,江苏         ,0,159,3
https://weibo.cn/u/6615277007,摆渡者006 男/广东,男,广东         ,0,173,1
https://weibo.cn/u/6548055071,大爱少爷6548055071 女/江苏,女,江苏         ,0,326,29
https://weibo.cn/u/3042897433,雷神汤雪英3_U 男/上海,男,上海         ,280,152,23
https://weibo.cn/u/6615720521,玉姣呀i 女/北京,女,北京         ,2,110,1
https://weibo.cn/u/6613994900,用户mmy78200938 女/其他,女,其他         ,0,53,2
https://weibo.cn/u/6568317073,用户6568317073 女/河北,女,河北         ,0,23,1
https://weibo.cn/u/6615277017,用户6615277017 男/其他,男,其他         ,0,79,1
https://weibo.cn/u/6597557797,用户6597557797 女/浙江,女,浙江         ,0,25,2
https://weibo.cn/u/6548055071,大爱少爷6548055071 女/江苏,女,江苏         ,0,326,29
https://weibo.cn/u/3042897433,雷神汤雪英3_U 男/上海,男,上海         ,280,152,23
https://weibo.cn/u/6615720521,玉姣呀i 女/北京,女,北京         ,2,110,1
https://weibo.cn/u/6613994900,用户mmy78200938 女/其他,女,其他         ,0,53,2
https://weibo.cn/u/6568317073,用户6568317073 女/河北,女,河北         ,0,23,1
https://weibo.cn/u/6615277017,用户6615277017 男/其他,男,其他         ,0,79,1
https://weibo.cn/u/6597557797,用户6597557797 女/浙江,女,浙江         ,0,25,2
https://weibo.cn/u/6593285655,太阳丫dxj 女/湖北,女,湖北         ,0,116,4
https://weibo.cn/u/5927778234,用户5927778234 男/其他,男,其他         ,0,125,63
https://weibo.cn/u/3192262135,留念-记忆 男/四川,男,四川         ,70,735,123
https://weibo.cn/u/6615720521,玉姣呀i 女/北京,女,北京         ,2,110,1
https://weibo.cn/u/6613994900,用户mmy78200938 女/其他,女,其他         ,0,53,2
https://weibo.cn/u/6568317073,用户6568317073 女/河北,女,河北         ,0,23,1
https://weibo.cn/u/6615277017,用户6615277017 男/其他,男,其他         ,0,79,1
https://weibo.cn/u/6597557797,用户6597557797 女/浙江,女,浙江         ,0,25,2
https://weibo.cn/u/6593285655,太阳丫dxj 女/湖北,女,湖北         ,0,116,4
https://weibo.cn/u/5927778234,用户5927778234 男/其他,男,其他         ,0,125,63
https://weibo.cn/u/3192262135,留念-记忆 男/四川,男,四川         ,70,735,123
https://weibo.cn/u/6125967268,用户6125967268 女/其他,女,其他         ,0,106,1
https://weibo.cn/u/2219651434,用户2219651434 男/福建,男,福建         ,1,200,3
https://weibo.cn/u/6615720521,玉姣呀i 女/北京,女,北京         ,2,110,1
https://weibo.cn/u/6613994900,用户mmy78200938 女/其他,女,其他         ,0,53,2
https://weibo.cn/u/6568317073,用户6568317073 女/河北,女,河北         ,0,23,1
https://weibo.cn/u/6615277017,用户6615277017 男/其他,男,其他         ,0,79,1
https://weibo.cn/u/6597557797,用户6597557797 女/浙江,女,浙江         ,0,25,2
https://weibo.cn/u/6593285655,太阳丫dxj 女/湖北,女,湖北         ,0,116,4
https://weibo.cn/u/5927778234,用户5927778234 男/其他,男,其他         ,0,125,63
https://weibo.cn/u/3192262135,留念-记忆 男/四川,男,四川         ,70,735,123
https://weibo.cn/u/6125967268,用户6125967268 女/其他,女,其他         ,0,106,1
https://weibo.cn/u/2219651434,用户2219651434 男/福建,男,福建         ,1,200,3
https://weibo.cn/u/6593285655,太阳丫dxj 女/湖北,女,湖北         ,0,116,4
https://weibo.cn/u/5927778234,用户5927778234 男/其他,男,其他         ,0,125,63
https://weibo.cn/u/3192262135,留念-记忆 男/四川,男,四川         ,70,735,123
https://weibo.cn/u/6125967268,用户6125967268 女/其他,女,其他         ,0,106,1
https://weibo.cn/u/2219651434,用户2219651434 男/福建,男,福建         ,1,200,3
https://weibo.cn/u/6370302638,甜甜半永久纹绣培训 女/其他,女,其他         ,0,58,1
https://weibo.cn/u/3461469830,用户qvvi86fvzp 男/安徽,男,安徽          专业养蜂３０年，自产自销纯蜂蜜，快递发往全国各地。,53,142,35
https://weibo.cn/u/5503820798,exceed_0731,女,海外          我就是个话逼，但我不爱撕逼,182,64,135
https://weibo.cn/u/6615721285,匡钮盛谢 女/海外,女,海外         ,0,58,1
https://weibo.cn/u/5546966316,朝阳zhao67577 男/其他,男,其他         ,5541,246,65
https://weibo.cn/u/2219651434,用户2219651434 男/福建,男,福建         ,1,200,3
https://weibo.cn/u/6370302638,甜甜半永久纹绣培训 女/其他,女,其他         ,0,58,1
https://weibo.cn/u/3461469830,用户qvvi86fvzp 男/安徽,男,安徽          专业养蜂３０年，自产自销纯蜂蜜，快递发往全国各地。,53,142,35
https://weibo.cn/u/5503820798,exceed_0731,女,海外          我就是个话逼，但我不爱撕逼,182,64,135
https://weibo.cn/u/6615721285,匡钮盛谢 女/海外,女,海外         ,0,58,1
https://weibo.cn/u/5546966316,朝阳zhao67577 男/其他,男,其他         ,5541,246,65
https://weibo.cn/u/6615276968,Rampant70231 男/其他,男,其他         ,0,105,1
https://weibo.cn/u/2934824975,哆啦E文-2017 男/广东,男,"广东          catch your heart,never be apart",618,322,227
https://weibo.cn/u/6601311986,笨笨龙58599 男/其他,男,其他         ,26,90,6
https://weibo.cn/u/5323871116,用户5323871116 女/河北,女,河北         ,0,112,1
https://weibo.cn/u/5503820798,exceed_0731,女,海外          我就是个话逼，但我不爱撕逼,182,64,135
https://weibo.cn/u/6615721285,匡钮盛谢 女/海外,女,海外         ,0,58,1
https://weibo.cn/u/5546966316,朝阳zhao67577 男/其他,男,其他         ,5541,246,65
