url,name,sex,region,weiboCount,foucsCount,fensCount
https://weibo.cn/u/6501703540,妩媚的哈喽哥哥 女/其他,女,其他,3511,215,70
https://weibo.cn/u/5638454193,用户5638454193 女/其他,女,其他,4,54,1
https://weibo.cn/u/1846166412,默默哒525胖小宇,女,四川,1283,240,174
https://weibo.cn/u/1739933412,玛伊微享淘好券达人招募中心 女/其他,女,其他,109,286,88
https://weibo.cn/u/3005434842,八戒你是猪么- 女/山西,女,山西,110,573,121
https://weibo.cn/u/5697340889,取个破名想半天0325 男/其他,男,其他,10,33,4
https://weibo.cn/u/6317023065,用户6317023065 女/其他,女,其他,0,57,1
https://weibo.cn/u/5770253950,a哩陌 女/山东,女,山东,8,137,11
https://weibo.cn/u/6203391245,用户6203391245 男/其他,男,其他,1,25,1
https://weibo.cn/u/5095404750,帅哥爱吃辣条 女/海外,女,海外,17,46,16543
https://weibo.cn/u/5638454193,用户5638454193 女/其他,女,其他,4,54,1
https://weibo.cn/u/1846166412,默默哒525胖小宇,女,四川,1283,240,174
https://weibo.cn/u/1739933412,玛伊微享淘好券达人招募中心 女/其他,女,其他,109,286,88
https://weibo.cn/u/3005434842,八戒你是猪么- 女/山西,女,山西,110,573,121
https://weibo.cn/u/5697340889,取个破名想半天0325 男/其他,男,其他,10,33,4
https://weibo.cn/u/6317023065,用户6317023065 女/其他,女,其他,0,57,1
https://weibo.cn/u/5770253950,a哩陌 女/山东,女,山东,8,137,11
https://weibo.cn/u/6203391245,用户6203391245 男/其他,男,其他,1,29,1
https://weibo.cn/u/5095404750,帅哥爱吃辣条 女/海外,女,海外,17,46,16543
https://weibo.cn/u/6259760549,阳光下丶浅浅笑_22996 男/其他,男,其他,5,153,2
https://weibo.cn/u/5638454193,用户5638454193 女/其他,女,其他,4,54,1
https://weibo.cn/u/1846166412,默默哒525胖小宇,女,四川,1283,240,174
https://weibo.cn/u/1739933412,玛伊微享淘好券达人招募中心 女/其他,女,其他,109,286,88
https://weibo.cn/u/3005434842,八戒你是猪么- 女/山西,女,山西,110,573,121
https://weibo.cn/u/5697340889,取个破名想半天0325 男/其他,男,其他,10,33,4
https://weibo.cn/u/6317023065,用户6317023065 女/其他,女,其他,0,57,1
https://weibo.cn/u/5770253950,a哩陌 女/山东,女,山东,8,137,11
https://weibo.cn/u/6203391245,用户6203391245 男/其他,男,其他,1,32,1
https://weibo.cn/u/5095404750,帅哥爱吃辣条 女/海外,女,海外,17,46,16543
https://weibo.cn/u/6259760549,阳光下丶浅浅笑_22996 男/其他,男,其他,5,153,2
https://weibo.cn/u/5697340889,取个破名想半天0325 男/其他,男,其他,10,33,4
https://weibo.cn/u/6317023065,用户6317023065 女/其他,女,其他,0,57,1
https://weibo.cn/u/5770253950,a哩陌 女/山东,女,山东,8,137,11
https://weibo.cn/u/6203391245,用户6203391245 男/其他,男,其他,1,34,1
https://weibo.cn/u/5095404750,帅哥爱吃辣条 女/海外,女,海外,17,46,16543
https://weibo.cn/u/6259760549,阳光下丶浅浅笑_22996 男/其他,男,其他,5,153,2
https://weibo.cn/u/6606071540,剑鸣200206 男/陕西,男,陕西,0,83,13
https://weibo.cn/u/6618423275,用户6618423275 男/其他,男,其他,0,107,1
https://weibo.cn/u/5969119938,酸奶牛乳糖,女,浙江,33,165,40
https://weibo.cn/u/5126467869,咚了个冬冬冬 女/河南,女,河南,239,77,24
https://weibo.cn/u/6606071540,剑鸣200206 男/陕西,男,陕西,0,83,13
https://weibo.cn/u/6618423275,用户6618423275 男/其他,男,其他,0,107,1
https://weibo.cn/u/5969119938,酸奶牛乳糖,女,浙江,33,165,40
https://weibo.cn/u/5126467869,咚了个冬冬冬 女/河南,女,河南,239,77,24
https://weibo.cn/u/6620372727,用户6620372727 女/江苏,女,江苏,0,59,1
https://weibo.cn/u/3989619870,JIANG_HARMING,女,上海,607,470,206
https://weibo.cn/u/5673023174,Justinnraba 男/其他,男,其他,2,439,31
https://weibo.cn/u/5880991152,纸皮核桃人,女,江苏,371,265,54
https://weibo.cn/u/6618876772,用户6618876772 女/广东,女,广东,2,115,1
https://weibo.cn/u/3229321921,小灰灰61216 男/其他,男,其他,3,81,1
https://weibo.cn/u/5673023174,Justinnraba 男/其他,男,其他,2,439,31
https://weibo.cn/u/5880991152,纸皮核桃人,女,江苏,372,265,54
https://weibo.cn/u/6618876772,用户6618876772 女/广东,女,广东,2,117,1
https://weibo.cn/u/3229321921,小灰灰61216 男/其他,男,其他,3,81,1
https://weibo.cn/u/2354209151,candy-xyj 女/广东,女,广东,4,234,60
https://weibo.cn/u/6356619011,用户6356619011 男/其他,男,其他,0,87,1
https://weibo.cn/u/2008077197,Hfer_樱di2 女/广东,女,广东,460,187,261
https://weibo.cn/u/6519117375,上帝睡着了0000 女/其他,女,其他,0,63,139
https://weibo.cn/u/6617130832,林小魚yuer,女,广东,87,669,38
https://weibo.cn/u/5864173644,惹JI 女/陕西,女,陕西,311,212,59
https://weibo.cn/u/6618876772,用户6618876772 女/广东,女,广东,2,123,1
https://weibo.cn/u/3229321921,小灰灰61216 男/其他,男,其他,3,81,1
https://weibo.cn/u/2354209151,candy-xyj 女/广东,女,广东,4,234,60
https://weibo.cn/u/6356619011,用户6356619011 男/其他,男,其他,0,87,1
https://weibo.cn/u/2008077197,Hfer_樱di2 女/广东,女,广东,460,187,261
https://weibo.cn/u/6519117375,上帝睡着了0000 女/其他,女,其他,0,63,139
https://weibo.cn/u/6617130832,林小魚yuer,女,广东,87,669,38
https://weibo.cn/u/5864173644,惹JI 女/陕西,女,陕西,311,212,59
https://weibo.cn/u/6534052982,a05190305 女/其他,女,其他,3,82,5
https://weibo.cn/u/5627265628,宝宝猪猪猪05200919 男/其他,男,其他,1,110,5
https://weibo.cn/u/6534052982,a05190305 女/其他,女,其他,3,82,5
https://weibo.cn/u/5627265628,宝宝猪猪猪05200919 男/其他,男,其他,1,118,5
https://weibo.cn/u/6604832120,用户6604832120 女/山西,女,山西,0,89,1
https://weibo.cn/u/6585103373,用户6585103373 女/河南,女,河南,8,150,4
https://weibo.cn/u/5716303993,凭什么呀 男/河北,男,河北,8,45,6
https://weibo.cn/u/6286313480,Bigbig_5650 女/其他,女,其他,48,121,20
https://weibo.cn/u/6619328101,可爱小公主201808 女/辽宁,女,辽宁,0,70,1
https://weibo.cn/u/6619367572,9479微弱丝 男/天津,男,天津,5,134,7
